group_name,Expert System Material Number,MaterialID,Output Name,tetracorder_file,MixtureType,Targets,Dominant_Mineral,Description,Spectral Library file,Chapter,Library Spectrum TITLE,Library
group.2um,,,muscovite + pyrophyllite  JH_PYRP1 ,musc+pyroph,Intimate,"Muscovite, Phyrophyllite",Muscovite,"Quartz, minor muscovite, minor pyrophyllite",sl1/usgs/library06/ASCII/S/musc_pyro_pyrp1.26100.asc,S,Muscovite+Pyrophyl JH_PYRP1  W1R1Fb,splib06
group.2um,,,muscovite + chlorite CU91-253D,muscovite+chlorite,Intimate,"Chlorite, Muscovite",none,"Chlorite, Muscovite",sl1/usgs/library06/ASCII/S/chl_phyllite_cu91-253d.26061.asc,S,Muscovite+Chlorite CU91-253D W2R4Na,splib06
group.2um,,,Na-alunite +kaolinite +hematite int. mix,Na-alun+kaol.intmx,Intimate,"Alunite, Kaolinite",Alunite,quartz (major) + natro-alunite (major) + kaolinite (minor) + hematite (trace),sl1/usgs/library06/ASCII/S/alun_na_mv00-11a.23894.asc,S,Alun_Na+Kaol+Hemat  MV00-11a W1R1Fc,splib06
group.2um,,,dry grass + 17% Na-montmorillonite AMX Areal,organic_drygrass+.17Na-mont,Areal,Montmorillonite,Montmorillonite,Dry grass and 17% montmorillonite,RESEARCH LIBRARY,,Grass_dry+0.17%Na-Mont AMX35 W1R1Ba AREF,sprlb06
group.2um,,,prehnite +.50chlorite AMIX,prehnite+.50chlorite,Areal,Chlorite,Chlorite,,RESEARCH LIBRARY,,Prehnite+.50Chlorite AMIX,sprlb06
group.2um,,,prehnite +.67chlorite AMIX ,prehnite+.67chlorite,Areal,Chlorite,Chlorite,,RESEARCH LIBRARY,,Prehnite+.67Chlorite AMIX,sprlb06
group.2um,,,prehnite +.75chlorite AMIX,prehnite+.75chlorite,Areal,Chlorite,Chlorite,,RESEARCH LIBRARY,,Prehnite+.75Chlorite AMIX,sprlb06
group.2um,,,alunite 50% & pyrophyllite PYS1A 50%,pyroph.5+alunit.5,Intimate,"Pyrophyllite, Alunite",none,50% Pyrophyllite 50% Alunite,sl1/usgs/library06/ASCII/S/alun_pyro_pys1a.23881.asc,S,Alun366+.50PyroPYS1A GDS222  W1R1Bb,splib06
group.2um,,,pyrophyllite 50% montmorillonite SAz-1 50%,pyroph.5+mont0.5,Areal,"Pyrophyllite, Montmorillonite",none,50% Pyrophyllite 50% Montmorillonite,sl1/usgs/library06/ASCII/S/pyroph_mont_amx16.26348.asc,S,Pyrophyl.50+Ca-Mont.50 AMX16 W1R1Ba,splib06
group.2um,,,pyrophyllite + trace muscovite JH_PYRM1,pyroph+tr.musc,Intimate,"Pyrophyllite, Muscovite",Pyrophyllite,"Quartz, minor pyrophyllite, trace muscovite",sl1/usgs/library06/ASCII/S/pyro_musc_pyrm1.26313.asc,S,Pyrophyl+Muscovite JH_PYRM1  W1R1Fb ,splib06
group.2um,,,smectite beidellite + montmorillonite GDS123,smectite_beidellite_gds123,Intimate,Montmorillonite,Montmorillonite,,sl1/usgs/library06/ASCII/S/beidellite_montmor_gds123.24274.asc,S,Beidellite+Montmor GDS123 =b,splib06
group.2um,,,smectite beidellite + montmorillonite GDS124,smectite_beidellite_gds124,Intimate,Montmorillonite,Montmorillonite,,sl1/usgs/library06/ASCII/S/beidellite_montmor_gds124.24340.asc,S,Beidellite+Montmor GDS124 =b,splib06
group.2um,,,sulfate alunite 35%K+65%Na CU91-217H,sulfate_alun35K65Na.low,Intimate,Alunite,Alunite,Fine grained and coarse grained Alunite,sl1/usgs/library06/ASCII/S/alunite_cu91-217h.24001.asc,S,Alunite0.35K+.65Na CU91-217H W2R4Nb,splib06
group.2um,,,sulfate alunite 66%K+34%Na CU91-217A,sulfate_alun66K34Na.low,Intimate,Alunite,Alunite,Two alunite phases,sl1/usgs/library06/ASCII/S/alunite_cu91-217a.24051.asc,S,Alunite0.66K+.34Na CU91-217A W2R4Nb,splib06
group.2um,,,sulfate alunite 73%K+27%Na CU91-217D,sulfate_alun73K27Na.low,Intimate,Alunite,Alunite,Two alunite phases,sl1/usgs/library06/ASCII/S/alunite_cu91-217d.24090.asc,S,Alunite0.73K+.27Na CU91-217D W2R4Na,splib06
group.2um,,,sulfate ammonio alunite NMNH145596,sulfate_ammonalunite,Intimate,"Alunite, Jarosite",Alunite,Ammonioalunite + Jarosite,sl1/usgs/library06/ASCII/S/alunite_nh4+jar_nmnh145596.24175.asc,S,Alunite_NH4+Jaro NMNH145596A W1R1Bb,splib06
group.2um,,,gypsum +jarosite +muscovite areal mix,sulfate-mix_gyp+jar+musc.amix,Areal,"Jarosite, Muscovite",Jarosite,"50% gypsum, 30% jarosite, 20% muscovite",sl1/usgs/library06/ASCII/S/gyp_jar_mus_amx24.25287.asc,S,Gyp.5+Kjar.3+hAlmsc.2 AMX24  W1R1Ba,splib06
group.2um,,,gypsum +jarosite +muscovite +dickite areal mix,sulfate-mix_gyp+jar+musc+dick.amix,Areal,"Muscovite, Dickite, Jarosite",none,"40% Gypsum, 20% Muscovite, 20% Dickite, 20% Jarosite",sl1/usgs/library06/ASCII/S/gyp_jar_mus_dic_amx23.25272.asc,S,Gyp.4+jr20+msc.2+dic.2 AMX23 W1R1Ba,splib06
group.2um,,,gypsum +jarosite +illite intimate mix,sulfate-mix_gypsum+jar+illite.intmix,Intimate,"Illite, Jarosite",none,"Albite (major), quartz (minor), gypsum (minor), natrojarosite (minor), illite (minor), muscovite (minor), pyrite (trace), dolomite (trace)",sl1/usgs/library06/ASCII/S/gyp_jar_ill_brcm1.25237.asc,S,Gyp+jar+ill BRCM1 Marysvale  W1R1Fb,splib06
group.2um,,,sulfate+clay natroalunite + dickite MV99-6-26b,sulfate+kaolingrp_natroalun+dickite,Intimate,"Alunite, Dickite",none,"Quartz (major), natroalunite (minor), dickite (minor), and gypsum (trace)",sl1/usgs/library06/ASCII/S/alunite_na_dickite_mv99-6-26b.23945.asc,S,Alunite+Dickite MV99-6-26b   W1R1Fc,splib06
group.2um,,,talc +calcite   PC99-1G,talc+calcite.parkcity,Areal,Calcite,Calcite,"Major - Calcite, Talc",sl1/usgs/library06/ASCII/S/calcite_talc_pc99-1g.24536.asc,S,Calcite+Talc PC99-1G         W1R1Fc,splib06
group.2um,,,talc + carbonate   PC99-1E,talc+carbonate.parkcity,Intimate,"Dolomite, Calcite",none,"Major - Dolomite, Calcite",sl1/usgs/library06/ASCII/S/dolo_calc_talc_pc99-1e.25017.asc,S,Dolomit+Calcite+Talc PC99-1E W1R1Fc,splib06
